E=35 keV
  Dst > -20 nT
        2,           0,          47,         105,          65,          48,          60,          85,          81,          78,          90,         102,          98,          82,          67,          75,          77,          85,          86,          66,          72,          77,          67,          47,          63,          64,          69
        4,           0,          45,          46,         112,         104,          80,          55,          30,          53,          77,          61,          61,          45,          51,          63,          49,          43,          30,          25,          39,          51,          51,          46,          51,          63,          72
        6,           0,          37,          69,          61,          47,          64,          62,          35,          36,          45,          38,          24,          12,           8,           1,           0,           0,           8,          13,          31,          65,          61,          79,         127,         174,         265
        8,           0,          59,          63,          46,          21,          12,           8,          11,          14,          18,          36,          47,          62,          69,          56,          30,          38,          48,          75,         134,         154,         139,         167,         126,         157,         173
       10,           0,          18,          51,          62,          40,          39,          38,          27,          33,          46,          42,          33,          22,          37,          46,          48,          44,          51,          63,          53,          86,         123,         176,         388,         883,          64
       12,           0,          30,          12,          29,          61,          72,          67,          66,          67,          80,          69,          42,          22,          32,          32,          36,          48,          53,          38,          82,         123,         137,         199,         282,         388,           0
       14,           0,          33,          69,          70,          40,          36,          43,          54,          73,          97,          94,          88,         113,         131,         138,         104,          91,          94,          86,         119,         153,         135,          76,          19,           0,           0
       16,           0,          12,          32,          53,          88,         120,         132,          98,          80,          67,          36,          24,          29,          34,          45,          59,          50,          57,          63,          79,         106,         160,         204,         301,         524,         137
       18,           0,          10,          37,          77,          63,          62,          46,          30,          43,          77,          81,          96,          87,          76,          85,          92,          85,          79,          83,          95,         110,         129,         129,         163,         268,         298
       20,           0,          14,          19,           5,           7,          20,          45,          70,          83,          91,          89,          96,          96,          97,          75,          69,          82,          86,          81,         100,         113,         108,         118,         137,         144,         161
       22,           0,           6,          21,          28,          42,          54,          48,          41,          33,          31,          44,          44,          32,          24,          27,          34,          38,          42,          43,          49,          52,          30,          36,          51,          62,          80
E=55 keV
  Dst > -20 nT
    MLT\L,        1.00,        1.20,        1.40,        1.60,        1.80,        2.00,        2.20,        2.40,        2.60,        2.80,        3.00,        3.20,        3.40,        3.60,        3.80,        4.00,        4.20,        4.40,        4.60,        4.80,        5.00,        5.20,        5.40,        5.60,        5.80,        6.00
        0,           0,         590,        1964,        2262,        2170,        2812,        2636,        2279,        2561,        2845,        2684,        2778,        2345,        2381,        2441,        2365,        2384,        2497,        2675,        3509,        4292,        4728,        5184,        5865,        7179,        9447
        2,           0,         811,        1935,        2101,        1874,        2433,        2467,        2181,        2651,        3119,        3131,        3083,        2515,        2540,        2632,        2332,        2529,        2603,        2752,        3624,        4575,        4961,        5417,        6036,        6837,        8952
        4,           0,        1205,        2174,        2076,        1921,        2392,        2405,        2168,        2694,        3230,        3352,        3271,        2513,        2682,        2734,        2460,        2739,        2711,        2972,        3752,        4564,        5232,        6164,        7003,        8782,       12586
        6,           0,        1262,        2910,        2728,        2211,        2881,        2807,        2561,        2715,        2901,        2834,        2590,        2038,        2152,        2170,        2066,        2386,        2447,        2799,        4014,        5153,        6034,        7422,        9456,       14285,       13354
        8,           0,        1047,        2754,        3397,        3081,        3184,        2665,        2127,        2441,        2833,        2994,        3066,        2589,        2666,        2744,        2381,        2558,        2627,        3054,        4376,        5979,        7162,        8745,       12497,       17466,        6423
       10,           0,         982,        2680,        2692,        2397,        3120,        3219,        2729,        3251,        3606,        3388,        3140,        2602,        2599,        2560,        2151,        2279,        2487,        3029,        4240,        5734,        6769,        8912,       14248,       20332,         747
       12,           0,         717,        2162,        2755,        2350,        2922,        2697,        2197,        2470,        2713,        2623,        2548,        2179,        2209,        2284,        2237,        2641,        2897,        3346,        4666,        6136,        7608,       10009,       15902,       21836,         251
       14,           0,         621,        1771,        2500,        2326,        2370,        2074,        1757,        1991,        2344,        2394,        2408,        2001,        2142,        2260,        2127,        2440,        2706,        3132,        4640,        6372,        7847,       10009,       16483,       20219,         525
       16,           0,         561,        2400,        2690,        1729,        2091,        2147,        2014,        2226,        2362,        2200,        2311,        1823,        2007,        2131,        2038,        2113,        2196,        2651,        3713,        5009,        6050,        7689,       11671,       16786,        4026
